id,text,title
doc_651,Is a privacy governance structure defined in alignment with ISO 27018 requirements?,27018 – Privacy Governance
doc_652,Are privacy management responsibilities assigned within the organization?,27018 – Privacy Governance
doc_653,Is there a documented policy for handling PII in cloud environments?,27018 – Privacy Governance
doc_654,Are privacy risks incorporated into the organization's overall risk assessment?,27018 – Privacy Governance
doc_655,Is a privacy impact assessment (PIA) conducted for cloud services processing PII?,27018 – Privacy Governance
doc_656,Are roles of PII controller and PII processor defined for each cloud service?,27018 – Roles & Responsibilities
doc_657,Does the CSP clearly document its responsibilities as a PII processor?,27018 – Roles & Responsibilities
doc_658,Is the customer informed of their obligations as the PII controller?,27018 – Roles & Responsibilities
doc_659,Is a RACI matrix used to document privacy responsibilities?,27018 – Roles & Responsibilities
doc_660,Are subcontractor (subprocessor) roles documented and disclosed?,27018 – Roles & Responsibilities
doc_661,Is PII collected strictly based on documented legal ground or controller instructions?,27018 – PII Collection
doc_662,Is collection of unnecessary PII avoided?,27018 – PII Collection
doc_663,Is PII collected only through secure and authorized channels?,27018 – PII Collection
doc_664,Are data subjects informed about the PII being collected?,27018 – PII Collection
doc_665,Are mechanisms in place to validate data subject identity during PII collection?,27018 – PII Collection
doc_666,Is consent obtained before processing PII where applicable?,27018 – Consent & Choice
doc_667,Are consent withdrawal mechanisms available?,27018 – Consent & Choice
doc_668,Are consent logs maintained and auditable?,27018 – Consent & Choice
doc_669,Is processing suspended when consent is withdrawn?,27018 – Consent & Choice
doc_670,Is consent required for additional processing not originally disclosed?,27018 – Consent & Choice
doc_671,Is PII processed only for documented and legitimate purposes?,27018 – Purpose Limitation
doc_672,Are processing limitations included in contracts with the customer?,27018 – Purpose Limitation
doc_673,Are secondary uses of PII prohibited unless explicitly approved?,27018 – Purpose Limitation
doc_674,Is access to PII limited to authorized processing operations only?,27018 – Purpose Limitation
doc_675,Are automated processing operations documented and approved?,27018 – Purpose Limitation
doc_676,Are PII accuracy and completeness validated when required?,27018 – Accuracy & Data Quality
doc_677,Are mechanisms available for correcting inaccurate PII?,27018 – Accuracy & Data Quality
doc_678,Are controllers notified if inconsistent or invalid PII is detected?,27018 – Accuracy & Data Quality
doc_679,Is PII quality maintained throughout the processing lifecycle?,27018 – Accuracy & Data Quality
doc_680,Are logs retained for changes made to PII?,27018 – Accuracy & Data Quality
doc_681,Are procedures implemented to ensure PII is anonymized where required?,27018 – Pseudonymization & Anonymization
doc_682,Are pseudonymization keys stored separately and securely?,27018 – Pseudonymization & Anonymization
doc_683,Is re-identification of anonymized data prohibited?,27018 – Pseudonymization & Anonymization
doc_684,Are anonymization techniques reviewed regularly for adequacy?,27018 – Pseudonymization & Anonymization
doc_685,Are anonymization failures reported as privacy incidents?,27018 – Pseudonymization & Anonymization
doc_686,Are PII disclosures to third parties restricted to controller approval only?,27018 – PII Disclosure Controls
doc_687,"Does the CSP notify the customer before disclosing PII to law enforcement, unless legally prohibited?",27018 – PII Disclosure Controls
doc_688,Are logs kept for all PII disclosures?,27018 – PII Disclosure Controls
doc_689,Are third-party PII recipients evaluated for adequate protection?,27018 – PII Disclosure Controls
doc_690,Is unauthorized PII disclosure treated as a security incident?,27018 – PII Disclosure Controls
doc_691,Are strict access controls applied to cloud environments storing PII?,27018 – Access Control for PII
doc_692,Are privileged users restricted from directly accessing PII?,27018 – Access Control for PII
doc_693,Are just-in-time access mechanisms used for PII environments?,27018 – Access Control for PII
doc_694,Are access attempts to PII logged and monitored in real time?,27018 – Access Control for PII
doc_695,Is multifactor authentication mandatory for PII access?,27018 – Access Control for PII
doc_696,Is PII stored using encryption at rest?,27018 – Protection of PII in Storage
doc_697,Is PII encrypted during transmission?,27018 – Protection of PII in Storage
doc_698,Are key management responsibilities clearly assigned?,27018 – Protection of PII in Storage
doc_699,Are encryption keys rotated periodically?,27018 – Protection of PII in Storage
doc_700,Is PII separated logically or physically from other tenant data?,27018 – Protection of PII in Storage
doc_701,Are PII processing activities logged comprehensively?,27018 – Logging & Monitoring of PII Activities
doc_702,Are logs monitored for unauthorized access attempts?,27018 – Logging & Monitoring of PII Activities
doc_703,Are logs protected from tampering?,27018 – Logging & Monitoring of PII Activities
doc_704,Are PII access logs retained per policy or regulation?,27018 – Logging & Monitoring of PII Activities
doc_705,Are logs accessible to the controller upon request?,27018 – Logging & Monitoring of PII Activities
doc_706,Are procedures defined for reporting PII breaches?,27018 – PII Breach Notification
doc_707,Does the CSP notify the controller without undue delay after a breach?,27018 – PII Breach Notification
doc_708,Are breach detection mechanisms applied across cloud infrastructure?,27018 – PII Breach Notification
doc_709,Are breach notification obligations included in contracts?,27018 – PII Breach Notification
doc_710,Are breach logs maintained for audit purposes?,27018 – PII Breach Notification
doc_711,Is PII deleted securely upon customer request?,27018 – Secure Deletion of PII
doc_712,Are deletion records retained as proof of erasure?,27018 – Secure Deletion of PII
doc_713,Are secure wipe techniques used for cloud storage media?,27018 – Secure Deletion of PII
doc_714,Are backup copies of PII deleted following the end of retention periods?,27018 – Secure Deletion of PII
doc_715,Is PII deletion validated by automated or manual verification?,27018 – Secure Deletion of PII
doc_716,Are audit logs made available to the customer to validate PII protection controls?,27018 – Customer Audit Rights
doc_717,"Are CSP SOC 2, ISO 27001, and privacy certifications shared with customers?",27018 – Customer Audit Rights
doc_718,Are customers allowed to request security assessments?,27018 – Customer Audit Rights
doc_719,Does the CSP provide transparency on subprocessors for audits?,27018 – Customer Audit Rights
doc_720,Are audit findings shared with customers when relevant to PII?,27018 – Customer Audit Rights
