id,question
A&A-01.1,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?"
A&A-01.2,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?"
A&A-02.1,Are independent audit and assurance assessments conducted according to relevant standards at least annually?
A&A-03.1,Are independent audit and assurance assessments performed according to risk-based plans and policies?
A&A-04.1,"Is compliance verified regarding all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?"
A&A-05.1,"Is an audit management process defined and implemented to support audit planning, risk analysis, security control assessments, conclusions, remediation schedules, report generation, and reviews of past reports and supporting evidence?"
A&A-06.1,"Is a risk-based corrective action plan to remediate audit findings established, documented, approved, communicated, applied, evaluated, and maintained?"
A&A-06.2,Is the remediation status of audit findings reviewed and reported to relevant stakeholders?
AIS-01.1,"Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to guide appropriate planning, delivery, and support of the organization's application security capabilities?"
AIS-01.2,Are application security policies and procedures reviewed and updated at least annually?
AIS-02.1,"Are baseline requirements to secure different applications established, documented, and maintained?"
AIS-03.1,"Are technical and operational metrics defined and implemented according to business objectives, security requirements, and compliance obligations?"
AIS-04.1,"Is an SDLC process defined and implemented for application design, development, deployment, and operation per organizationally designed security requirements?"
AIS-05.1,"Does the testing strategy outline criteria to accept new information systems, upgrades, and new versions while ensuring application security, compliance adherence, and organizational speed of delivery goals?"
AIS-05.2,Is testing automated when applicable and possible?
AIS-06.1,"Are strategies and capabilities established and implemented to deploy application code in a secure, standardized, and compliant manner?"
AIS-06.2,Is the deployment and integration of application code automated where possible?
AIS-07.1,Are application security vulnerabilities remediated following defined processes?
AIS-07.2,Is the remediation of application security vulnerabilities automated when possible?
BCR-01.1,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?"
BCR-01.2,Are the policies and procedures reviewed and updated at least annually?
BCR-02.1,Are criteria for developing business continuity and operational resiliency strategies and capabilities established based on business disruption and risk impacts?
BCR-03.1,"Are strategies developed to reduce the impact of, withstand, and recover from business disruptions in accordance with risk appetite?"
BCR-04.1,"Are operational resilience strategies and capability results incorporated to establish, document, approve, communicate, apply, evaluate, and maintain a business continuity plan?"
BCR-05.1,"Is relevant documentation developed, identified, and acquired to support business continuity and operational resilience plans?"
BCR-05.2,Is business continuity and operational resilience documentation available to authorized stakeholders?
BCR-05.3,Is business continuity and operational resilience documentation reviewed periodically?
BCR-06.1,Are the business continuity and operational resilience plans exercised and tested at least annually and when significant changes occur?
BCR-07.1,Do business continuity and resilience procedures establish communication with stakeholders and participants?
BCR-08.1,Is cloud data periodically backed up?
BCR-08.2,"Is the confidentiality, integrity, and availability of backup data ensured?"
BCR-08.3,Can backups be restored appropriately for resiliency?
BCR-09.1,"Is a disaster response plan established, documented, approved, applied, evaluated, and maintained to ensure recovery from natural and man-made disasters?"
BCR-09.2,"Is the disaster response plan updated at least annually, and when significant changes occur?"
BCR-10.1,Is the disaster response plan exercised annually or when significant changes occur?
BCR-10.2,"Are local emergency authorities included, if possible, in the exercise?"
BCR-11.1,Is business-critical equipment supplemented with redundant equipment independently located at a reasonable minimum distance in accordance with applicable industry standards?
CCC-01.1,"Are risk management policies and procedures associated with changing organizational assets including applications, systems, infrastructure, configuration, etc., established, documented, approved, communicated, applied, evaluated and maintained (regardless of whether asset management is internal or external)?"
CCC-01.2,Are the policies and procedures reviewed and updated at least annually?
CCC-02.1,"Is a defined quality change control, approval and testing process (with established baselines, testing, and release standards) followed?"
CCC-03.1,"Are risks associated with changing organizational assets (including applications, systems, infrastructure, configuration, etc.) managed, regardless of whether asset management occurs internally or externally (i.e., outsourced)?"
CCC-04.1,"Is the unauthorized addition, removal, update, and management of organization assets restricted?"
CCC-05.1,Are provisions to limit changes that directly impact CSC-owned environments and require tenants to authorize requests explicitly included within the service level agreements (SLAs) between CSPs and CSCs?
CCC-06.1,Are change management baselines established for all relevant authorized changes on organizational assets?
CCC-07.1,Are detection measures implemented with proactive notification if changes deviate from established baselines?
CCC-08.1,"Is a procedure implemented to manage exceptions, including emergencies, in the change and configuration process?"
CCC-08.2,Is the procedure aligned with the requirements of the GRC-04: Policy Exception Process?'
