id,text,title
doc_1051,Is a formal information security program established and documented?,SOC2 – CC1 Governance
doc_1052,Are security roles and responsibilities assigned within the organization?,SOC2 – CC1 Governance
doc_1053,Are policies maintained to support SOC 2 trust principles?,SOC2 – CC1 Governance
doc_1054,Are policies reviewed and approved by management annually?,SOC2 – CC1 Governance
doc_1055,Are employees required to acknowledge security policies?,SOC2 – CC1 Governance
doc_1056,Is a risk management program implemented to identify and assess risks?,SOC2 – CC2 Risk Management
doc_1057,Are risk assessments performed at least annually?,SOC2 – CC2 Risk Management
doc_1058,Are new technologies assessed for associated risks?,SOC2 – CC2 Risk Management
doc_1059,Are risk treatments documented and approved?,SOC2 – CC2 Risk Management
doc_1060,Are external threats and vulnerabilities incorporated in risk analysis?,SOC2 – CC2 Risk Management
doc_1061,Does the organization maintain a formal code of conduct?,SOC2 – CC3 Ethics & Integrity
doc_1062,Are employees trained on ethical behavior and reporting concerns?,SOC2 – CC3 Ethics & Integrity
doc_1063,Is there a whistleblower mechanism for reporting violations?,SOC2 – CC3 Ethics & Integrity
doc_1064,Are conflicts of interest identified and disclosed?,SOC2 – CC3 Ethics & Integrity
doc_1065,Are ethics violations investigated promptly?,SOC2 – CC3 Ethics & Integrity
doc_1066,Are job descriptions documented with required competencies?,SOC2 – CC4 People Management
doc_1067,Are background checks conducted for staff with access to sensitive systems?,SOC2 – CC4 People Management
doc_1068,Are employees trained in job-specific security practices?,SOC2 – CC4 People Management
doc_1069,Are performance evaluations conducted to ensure competency?,SOC2 – CC4 People Management
doc_1070,Are disciplinary actions enforced for non-compliance?,SOC2 – CC4 People Management
doc_1071,Does the organization maintain security awareness training?,SOC2 – CC5 Awareness & Training
doc_1072,Is training required at onboarding?,SOC2 – CC5 Awareness & Training
doc_1073,Is annual refresher training mandatory?,SOC2 – CC5 Awareness & Training
doc_1074,Are employees trained on phishing and social engineering?,SOC2 – CC5 Awareness & Training
doc_1075,Is training effectiveness measured?,SOC2 – CC5 Awareness & Training
doc_1076,Are logical access controls implemented to restrict access to authorized users?,SOC2 – CC6 Logical Access
doc_1077,Are user accounts provisioned based on least privilege?,SOC2 – CC6 Logical Access
doc_1078,Are access rights approved prior to assignment?,SOC2 – CC6 Logical Access
doc_1079,Are periodic access reviews performed for all systems?,SOC2 – CC6 Logical Access
doc_1080,Are unused or dormant accounts disabled promptly?,SOC2 – CC6 Logical Access
doc_1081,Is MFA enforced for privileged or remote access?,SOC2 – CC6 Logical Access – Authentication
doc_1082,Are password requirements aligned with industry standards?,SOC2 – CC6 Logical Access – Authentication
doc_1083,Are authentication logs monitored for suspicious activity?,SOC2 – CC6 Logical Access – Authentication
doc_1084,Are default credentials prohibited?,SOC2 – CC6 Logical Access – Authentication
doc_1085,Are service accounts centrally managed and restricted?,SOC2 – CC6 Logical Access – Authentication
doc_1086,Is physical access restricted to authorized personnel?,SOC2 – CC6 Physical Access
doc_1087,Are visitor logs maintained and reviewed?,SOC2 – CC6 Physical Access
doc_1088,Are facilities equipped with surveillance systems?,SOC2 – CC6 Physical Access
doc_1089,"Are physical access points protected by security controls (badges, biometrics)?",SOC2 – CC6 Physical Access
doc_1090,Are physical access permissions reviewed periodically?,SOC2 – CC6 Physical Access
doc_1091,Are system changes controlled through a formal change management process?,SOC2 – CC7 Change Management
doc_1092,Are changes reviewed and approved prior to implementation?,SOC2 – CC7 Change Management
doc_1093,Are emergency changes documented and reviewed after implementation?,SOC2 – CC7 Change Management
doc_1094,Are changes tested in non-production environments?,SOC2 – CC7 Change Management
doc_1095,Are configuration changes logged and monitored?,SOC2 – CC7 Change Management
doc_1096,Are production deployments segregated from development environments?,SOC2 – CC7 SDLC
doc_1097,Are developers prevented from accessing production data unless approved?,SOC2 – CC7 SDLC
doc_1098,Are code reviews performed prior to deployment?,SOC2 – CC7 SDLC
doc_1099,Are secure development standards implemented?,SOC2 – CC7 SDLC
doc_1100,Are third-party libraries evaluated for security risks?,SOC2 – CC7 SDLC
doc_1101,Is system activity monitored continuously?,SOC2 – CC8 Monitoring & Detection
doc_1102,Are system logs correlated through SIEM or equivalent tools?,SOC2 – CC8 Monitoring & Detection
doc_1103,Are alerts generated for abnormal or suspicious activity?,SOC2 – CC8 Monitoring & Detection
doc_1104,Is monitoring of privileged users implemented?,SOC2 – CC8 Monitoring & Detection
doc_1105,Are log retention periods defined and enforced?,SOC2 – CC8 Monitoring & Detection
doc_1106,Are incidents tracked through a formal incident response process?,SOC2 – CC9 Incident Response
doc_1107,Are incident severity levels defined?,SOC2 – CC9 Incident Response
doc_1108,Are incident response roles assigned?,SOC2 – CC9 Incident Response
doc_1109,"Are incidents logged with dates, actions, and outcomes?",SOC2 – CC9 Incident Response
doc_1110,Are major incidents escalated to senior management?,SOC2 – CC9 Incident Response
doc_1111,Is an incident response plan documented and maintained?,SOC2 – CC9 Incident Planning
doc_1112,"Is the incident response plan tested (e.g., tabletop exercises)?",SOC2 – CC9 Incident Planning
doc_1113,Are communication procedures established for incident escalation?,SOC2 – CC9 Incident Planning
doc_1114,Are post-incident reviews conducted to identify improvements?,SOC2 – CC9 Incident Planning
doc_1115,Is evidence preserved in accordance with legal requirements?,SOC2 – CC9 Incident Planning
doc_1116,Are vendors assessed prior to onboarding?,SOC2 – Vendor Management
doc_1117,Are vendor contracts reviewed for security requirements?,SOC2 – Vendor Management
doc_1118,Are third-party risks re-evaluated periodically?,SOC2 – Vendor Management
doc_1119,Are vendors required to notify of security breaches?,SOC2 – Vendor Management
doc_1120,Are vendor performance and compliance monitored?,SOC2 – Vendor Management
doc_1121,Are network firewalls implemented and maintained?,SOC2 – Network Security
doc_1122,Are IDS/IPS systems deployed to detect threats?,SOC2 – Network Security
doc_1123,Is network segmentation used to isolate critical systems?,SOC2 – Network Security
doc_1124,Are external connections restricted and monitored?,SOC2 – Network Security
doc_1125,Are wireless networks secured with strong authentication?,SOC2 – Network Security
doc_1126,Are data backups performed regularly?,SOC2 – Data Protection
doc_1127,Are backup data encrypted?,SOC2 – Data Protection
doc_1128,Are backup restorations tested periodically?,SOC2 – Data Protection
doc_1129,Is backup access restricted to authorized personnel?,SOC2 – Data Protection
doc_1130,Are backup locations protected from environmental threats?,SOC2 – Data Protection
doc_1131,Are encryption standards defined for data in transit?,SOC2 – Encryption Controls
doc_1132,Are encryption standards defined for data at rest?,SOC2 – Encryption Controls
doc_1133,Are encryption keys managed securely?,SOC2 – Encryption Controls
doc_1134,Are key rotation procedures implemented?,SOC2 – Encryption Controls
doc_1135,Are access logs maintained for KMS operations?,SOC2 – Encryption Controls
doc_1136,Are vulnerability scans performed regularly?,SOC2 – Vulnerability Management
doc_1137,Are system patches applied in accordance with policy?,SOC2 – Vulnerability Management
doc_1138,Are critical vulnerabilities remediated quickly?,SOC2 – Vulnerability Management
doc_1139,Are penetration tests conducted annually?,SOC2 – Vulnerability Management
doc_1140,Are remediation activities tracked to closure?,SOC2 – Vulnerability Management
doc_1141,Are system capacity and performance monitored?,SOC2 – Availability Controls
doc_1142,Are redundancies implemented to ensure high availability?,SOC2 – Availability Controls
doc_1143,Are service uptime metrics defined and monitored?,SOC2 – Availability Controls
doc_1144,Are outage trends analyzed for underlying issues?,SOC2 – Availability Controls
