id,text,title
doc_851,Is a Privacy Information Management System (PIMS) established and documented?,27701 – PIMS Governance
doc_852,Is the PIMS integrated with the existing ISMS (ISO 27001)?,27701 – PIMS Governance
doc_853,Are privacy objectives defined and measurable?,27701 – PIMS Governance
doc_854,Are privacy objectives aligned to business and regulatory needs?,27701 – PIMS Governance
doc_855,Is the PIMS regularly reviewed by senior management?,27701 – PIMS Governance
doc_856,Are roles for PII controllers and PII processors clearly defined?,27701 – Organizational Roles
doc_857,Is a Data Protection Officer (DPO) appointed where required?,27701 – Organizational Roles
doc_858,Are responsibilities for PII lifecycle management documented?,27701 – Organizational Roles
doc_859,Are privacy responsibilities communicated to all relevant employees?,27701 – Organizational Roles
doc_860,Are privacy responsibilities reviewed during organizational changes?,27701 – Organizational Roles
doc_861,Is an inventory of all PII categories maintained?,27701 – PII Inventory & Mapping
doc_862,Are PII flows documented across systems and subprocessors?,27701 – PII Inventory & Mapping
doc_863,Is PII classified based on sensitivity and risk?,27701 – PII Inventory & Mapping
doc_864,"Are PII storage locations documented, including cloud and on-prem?",27701 – PII Inventory & Mapping
doc_865,Are lawful bases for processing each PII category identified?,27701 – PII Inventory & Mapping
doc_866,Is there a privacy policy publicly available for data subjects?,27701 – Privacy Policy Requirements
doc_867,Does the privacy policy specify what PII is processed and why?,27701 – Privacy Policy Requirements
doc_868,Are privacy notices aligned with regulatory requirements (GDPR etc.)?,27701 – Privacy Policy Requirements
doc_869,Are data subjects informed of their rights?,27701 – Privacy Policy Requirements
doc_870,Are privacy notices reviewed periodically?,27701 – Privacy Policy Requirements
doc_871,Is the legal basis for each PII processing operation documented?,27701 – Legal Basis for PII Processing
doc_872,Are consent requirements documented when applicable?,27701 – Legal Basis for PII Processing
doc_873,"Are consent mechanisms available, explicit, and auditable?",27701 – Legal Basis for PII Processing
doc_874,Is processing limited to what is necessary for the intended purpose?,27701 – Legal Basis for PII Processing
doc_875,Is processing of sensitive PII subject to enhanced controls?,27701 – Legal Basis for PII Processing
doc_876,Are notices provided when PII is collected directly from data subjects?,27701 – Transparency & Notices
doc_877,Are data subjects informed if PII is collected indirectly?,27701 – Transparency & Notices
doc_878,Do privacy notices include retention durations?,27701 – Transparency & Notices
doc_879,Are data subjects notified of automated decision-making?,27701 – Transparency & Notices
doc_880,Are data subjects notified when new purposes for processing arise?,27701 – Transparency & Notices
doc_881,Are data subject access requests (DSAR) handled promptly?,27701 – Data Subject Rights Management
doc_882,Are procedures implemented to correct inaccurate PII?,27701 – Data Subject Rights Management
doc_883,Are deletion/erasure requests handled according to regulations?,27701 – Data Subject Rights Management
doc_884,Are restrictions on processing supported when requested?,27701 – Data Subject Rights Management
doc_885,Is PII portability supported through standard formats?,27701 – Data Subject Rights Management
doc_886,Are documented procedures in place to ensure PII is used only for intended purposes?,27701 – Purpose Limitation
doc_887,Are secondary uses of PII prevented without explicit approval?,27701 – Purpose Limitation
doc_888,Are employees trained on purpose limitation requirements?,27701 – Purpose Limitation
doc_889,Are automated systems restricted from using PII for unintended analytics?,27701 – Purpose Limitation
doc_890,Is monitoring in place to detect unauthorized processing purposes?,27701 – Purpose Limitation
doc_891,Is data minimization applied to all PII processing activities?,27701 – Data Minimization
doc_892,Are PII collection forms validated to avoid collecting unnecessary data?,27701 – Data Minimization
doc_893,Are PII retention durations minimized to what is necessary?,27701 – Data Minimization
doc_894,Are logs retained without unnecessary PII?,27701 – Data Minimization
doc_895,Are anonymization techniques used when identifiable data is not needed?,27701 – Data Minimization
doc_896,Are accuracy checks implemented for PII updates?,27701 – PII Accuracy & Quality
doc_897,Are data subjects notified when inaccurate PII is corrected?,27701 – PII Accuracy & Quality
doc_898,Are controllers informed if inaccurate data is detected by the processor?,27701 – PII Accuracy & Quality
doc_899,Are automated systems validated to prevent creating inaccurate PII?,27701 – PII Accuracy & Quality
doc_900,Are PII accuracy procedures reviewed periodically?,27701 – PII Accuracy & Quality
doc_901,Are retention policies documented for each category of PII?,27701 – PII Retention Management
doc_902,Are PII retention schedules aligned with legal obligations?,27701 – PII Retention Management
doc_903,Are PII deletion triggers configured in systems and workflows?,27701 – PII Retention Management
doc_904,Are customers informed when retention schedules change?,27701 – PII Retention Management
doc_905,Are PII retention exceptions documented and approved?,27701 – PII Retention Management
doc_906,Are PII deletion procedures documented and tested?,27701 – Secure PII Deletion
doc_907,"Are all copies of PII deleted upon request, including backups?",27701 – Secure PII Deletion
doc_908,Are deletion logs retained as evidence of erasure?,27701 – Secure PII Deletion
doc_909,Are deletion processes aligned with customer agreements?,27701 – Secure PII Deletion
