id,text,labels
A&A-01.1,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
A&A-01.2,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
A&A-02.1,Are independent audit and assurance assessments conducted according to relevant standards at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
A&A-03.1,Are independent audit and assurance assessments performed according to risk-based plans and policies?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
A&A-04.1,"Is compliance verified regarding all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
A&A-05.1,"Is an audit management process defined and implemented to support audit planning, risk analysis, security control assessments, conclusions, remediation schedules, report generation, and reviews of past reports and supporting evidence?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
A&A-06.1,"Is a risk-based corrective action plan to remediate audit findings established, documented, approved, communicated, applied, evaluated, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
A&A-06.2,Is the remediation status of audit findings reviewed and reported to relevant stakeholders?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-01.1,"Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to guide appropriate planning, delivery, and support of the organization's application security capabilities?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-01.2,Are application security policies and procedures reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-02.1,"Are baseline requirements to secure different applications established, documented, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-03.1,"Are technical and operational metrics defined and implemented according to business objectives, security requirements, and compliance obligations?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-04.1,"Is an SDLC process defined and implemented for application design, development, deployment, and operation per organizationally designed security requirements?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-05.1,"Does the testing strategy outline criteria to accept new information systems, upgrades, and new versions while ensuring application security, compliance adherence, and organizational speed of delivery goals?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-05.2,Is testing automated when applicable and possible?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-06.1,"Are strategies and capabilities established and implemented to deploy application code in a secure, standardized, and compliant manner?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-06.2,Is the deployment and integration of application code automated where possible?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
AIS-07.1,Are application security vulnerabilities remediated following defined processes?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, vulnerability remediation, application security, remediation processes, remediation automation"
AIS-07.2,Is the remediation of application security vulnerabilities automated when possible?,"vulnerability remediation, application security, remediation processes, remediation automation"
BCR-01.1,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, business continuity, operational resilience, plan management"
BCR-01.2,Are the policies and procedures reviewed and updated at least annually?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
BCR-02.1,Are criteria for developing business continuity and operational resiliency strategies and capabilities established based on business disruption and risk impacts?,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, business continuity, operational resilience, risk impact assessment, disruption recovery strategies, risk appetite alignment"
BCR-03.1,"Are strategies developed to reduce the impact of, withstand, and recover from business disruptions in accordance with risk appetite?","business continuity, operational resilience, risk impact assessment, disruption recovery strategies, risk appetite alignment"
BCR-04.1,"Are operational resilience strategies and capability results incorporated to establish, document, approve, communicate, apply, evaluate, and maintain a business continuity plan?","business continuity, operational resilience, policies and procedures, documentation, plan management"
BCR-05.1,"Is relevant documentation developed, identified, and acquired to support business continuity and operational resilience plans?","policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting"
