id,text,labels
A&A-01.1,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?","audit policies, assurance policies, procedures, standards, documentation, approval, communication, policy implementation, policy evaluation, policy maintenance"
A&A-01.2,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?","Audit policies, Assurance policies, Policy review, Annual update, Procedures review, Standards review"
A&A-02.1,Are independent audit and assurance assessments conducted according to relevant standards at least annually?,"Independent audit, Assurance assessment, Relevant standards, Annual frequency"
A&A-03.1,Are independent audit and assurance assessments performed according to risk-based plans and policies?,"Independent audit, Assurance assessments, Risk-based plans, Audit policies"
A&A-04.1,"Is compliance verified regarding all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?","Compliance verification, Relevant standards, Regulations, Legal requirements, Contractual requirements, Statutory requirements, Audit applicability"
A&A-05.1,"Is an audit management process defined and implemented to support audit planning, risk analysis, security control assessments, conclusions, remediation schedules, report generation, and reviews of past reports and supporting evidence?","audit management process, audit planning, risk analysis, security control assessments, remediation schedules, report generation, report reviews, supporting evidence"
A&A-06.1,"Is a risk-based corrective action plan to remediate audit findings established, documented, approved, communicated, applied, evaluated, and maintained?","Corrective action plan, Risk-based remediation, Audit findings, Plan documentation, Plan approval, Plan communication, Plan implementation, Plan evaluation, Plan maintenance"
A&A-06.2,Is the remediation status of audit findings reviewed and reported to relevant stakeholders?,"Remediation status, Audit findings, Status review, Status reporting, Relevant stakeholders"
AIS-01.1,"Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to guide appropriate planning, delivery, and support of the organization's application security capabilities?","Application security policies, Security procedures, Policy documentation, Policy approval, Policy communication, Policy implementation, Policy evaluation, Policy maintenance, Security planning, Service delivery, Security support, Application security capabilities"
AIS-01.2,Are application security policies and procedures reviewed and updated at least annually?,"Application security policies, Security procedures, Annual review, Policy updates"
AIS-02.1,"Are baseline requirements to secure different applications established, documented, and maintained?","Application security baselines, Baseline requirements, Documentation maintenance, Requirements documentation"
AIS-03.1,"Are technical and operational metrics defined and implemented according to business objectives, security requirements, and compliance obligations?","Technical metrics, Operational metrics, Business objectives, Security requirements, Compliance obligations, Metrics implementation, Metrics definition"
AIS-04.1,"Is an SDLC process defined and implemented for application design, development, deployment, and operation per organizationally designed security requirements?","SDLC process, Application design, Application development, Application deployment, Application operation, Security requirements, Organizational requirements"
AIS-05.1,"Does the testing strategy outline criteria to accept new information systems, upgrades, and new versions while ensuring application security, compliance adherence, and organizational speed of delivery goals?","Testing strategy, Acceptance criteria, Information systems, System upgrades, New versions, Application security, Compliance adherence, Delivery speed goals"
AIS-05.2,Is testing automated when applicable and possible?,"Automated testing, Test automation applicability, Test feasibility"
AIS-06.1,"Are strategies and capabilities established and implemented to deploy application code in a secure, standardized, and compliant manner?","application code deployment, secure deployment, standardized deployment, compliant deployment, deployment strategies, deployment capabilities"
AIS-06.2,Is the deployment and integration of application code automated where possible?,"Application deployment, Code integration, Deployment automation, Integration automation"
AIS-07.1,Are application security vulnerabilities remediated following defined processes?,"Application security, Security vulnerabilities, Vulnerability remediation, Defined processes"
AIS-07.2,Is the remediation of application security vulnerabilities automated when possible?,"Vulnerability remediation, Application security, Remediation automation"
BCR-01.1,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?","Business continuity management, Operational resilience, Policies and procedures, Documentation, Policy approval, Policy communication, Policy implementation, Policy evaluation, Policy maintenance"
BCR-01.2,Are the policies and procedures reviewed and updated at least annually?,"Policy review, Procedure review, Annual update"
BCR-02.1,Are criteria for developing business continuity and operational resiliency strategies and capabilities established based on business disruption and risk impacts?,"Business continuity, Operational resiliency, Strategy criteria, Capability criteria, Business disruption, Risk impacts"
