id,question,score,labels,matched_labels
BCR-08.2,"Is the confidentiality, integrity, and availability of backup data ensured?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
LOG-02.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure audit log security and retention?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
IAM-08.1,Are reviews and revalidation of user access for least privilege and separation of duties completed with a frequency commensurate with organizational risk tolerance?,,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
CEK-09.1,"Are encryption and key management systems, policies, and processes audited with a frequency proportional to the system's risk exposure, and after any security event?",,"encryption, key management, audit frequency, risk-based auditing",
DCS-09.2,"Are access control records retained periodically, as deemed appropriate by the organization?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
DCS-07.1,"Are physical security perimeters implemented to safeguard personnel, data, and information systems?",,"physical security, security perimeters",
DCS-07.2,"Are physical security perimeters established between administrative and business areas, data storage, and processing facilities?",,"physical security, security perimeters",
DCS-08.1,Is equipment identification used as a method for connection authentication?,,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
DCS-09.1,"Are solely authorized personnel able to access secure areas, with all ingress and egress areas restricted, documented, and monitored by physical access control mechanisms?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
