id,question,score,labels,matched_labels
DCS-02.1,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location established, documented, approved, communicated, implemented, enforced, maintained?",0.3560,"policies and procedures, asset relocation, offsite transfer, policy review",offsite transfer
DCS-02.3,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually?",0.3560,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, asset relocation, offsite transfer, policy review","periodic review, offsite transfer"
BCR-01.1,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",0.3424,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, business continuity, operational resilience, plan management","periodic review, business continuity"
BCR-02.1,Are criteria for developing business continuity and operational resiliency strategies and capabilities established based on business disruption and risk impacts?,0.3424,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, business continuity, operational resilience, risk impact assessment, disruption recovery strategies, risk appetite alignment","periodic review, business continuity"
BCR-03.1,"Are strategies developed to reduce the impact of, withstand, and recover from business disruptions in accordance with risk appetite?",0.3424,"business continuity, operational resilience, risk impact assessment, disruption recovery strategies, risk appetite alignment",business continuity
BCR-04.1,"Are operational resilience strategies and capability results incorporated to establish, document, approve, communicate, apply, evaluate, and maintain a business continuity plan?",0.3424,"business continuity, operational resilience, policies and procedures, documentation, plan management",business continuity
CEK-09.1,"Are encryption and key management systems, policies, and processes audited with a frequency proportional to the system's risk exposure, and after any security event?",0.3390,"encryption, key management, audit frequency, risk-based auditing",audit frequency
CEK-09.2,"Are encryption and key management systems, policies, and processes audited (preferably continuously but at least annually)?",0.3390,"encryption, key management, audit frequency, risk-based auditing",audit frequency
BCR-09.2,"Is the disaster response plan updated at least annually, and when significant changes occur?",0.3338,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, disaster response, plan maintenance, annual review, exercise testing","periodic review, plan maintenance"
BCR-10.1,Is the disaster response plan exercised annually or when significant changes occur?,0.3338,"disaster response, plan maintenance, annual review, exercise testing",plan maintenance
