id,question,score,labels,matched_labels
SEF-01.1,"Are policies and procedures for security incident management, e- discovery, and cloud forensics established, documented, approved, communicated, applied, evaluated, and maintained?",0.4219,"incident management, policies and procedures","incident management, policies and procedures"
SEF-02.1,"Are policies and procedures for timely management of security incidents established, documented, approved, communicated, applied, evaluated, and maintained?",0.3606,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, incident management","monitoring and reporting, incident management, risk management, periodic review, policies and procedures, compliance requirements, documentation"
DCS-07.1,"Are physical security perimeters implemented to safeguard personnel, data, and information systems?",0.3383,"physical security, security perimeters","security perimeters, physical security"
DCS-07.2,"Are physical security perimeters established between administrative and business areas, data storage, and processing facilities?",0.3383,"physical security, security perimeters","security perimeters, physical security"
UEM-13.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable remote company data deletion on managed endpoint devices?",0.3353,"endpoint security, processes and procedures, security controls, policy enforcement, control evaluation","security controls, endpoint security, policy enforcement, processes and procedures, control evaluation"
CCC-07.1,Are detection measures implemented with proactive notification if changes deviate from established baselines?,0.3337,"managed endpoints, security controls, configuration management","security controls, managed endpoints, configuration management"
UEM-08.1,Is information protected from unauthorized disclosure on managed endpoints with storage encryption?,0.3337,"managed endpoints, security controls, configuration management","security controls, managed endpoints, configuration management"
UEM-12.1,Are remote geolocation capabilities enabled for all managed mobile endpoints?,0.3337,"managed endpoints, security controls, configuration management","security controls, managed endpoints, configuration management"
UEM-05.1,"Are processes, procedures, and technical measures defined, implemented and evaluated, to enforce policies and controls for all endpoints permitted to access systems and/or store, transmit, or process organizational data?",0.3329,"endpoint security controls, processes and procedures, control implementation, control evaluation, third-party access security, endpoint security, security controls, policy enforcement","security controls, endpoint security controls, endpoint security, control implementation, policy enforcement, processes and procedures, control evaluation, third-party access security"
UEM-14.1,"Are processes, procedures, and technical and/or contractual measures defined, implemented, and evaluated to maintain proper security of third- party endpoints with access to organizational assets?",0.3329,"endpoint security controls, processes and procedures, control implementation, control evaluation, third-party access security, endpoint security, security controls, policy enforcement","security controls, endpoint security controls, endpoint security, control implementation, policy enforcement, processes and procedures, control evaluation, third-party access security"
