id,question,score,labels,matched_labels
BCR-08.1,Is cloud data periodically backed up?,0.5207,"Cloud data, Periodic backups, Data backup","Periodic backups, Data backup, Cloud data"
BCR-08.3,Can backups be restored appropriately for resiliency?,0.4249,"Backup restoration, Resiliency testing","Backup restoration, Resiliency testing"
IPY-04.1,"Do agreements include provisions specifying CSC data access upon contract termination, and have the following? a. Data format b. Duration data will be stored c. Scope of the data retained and made available to the CSCs d. Data deletion policy",0.3509,"Contract termination, Data access provisions, Data format, Data retention duration, Data retention scope, Data deletion policy, Agreements","Data retention duration, Data retention scope, Data deletion policy, Data access provisions, Data format, Contract termination, Agreements"
DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?",0.3484,"Data retention, Data archiving, Data deletion, Business requirements, Applicable laws, Regulatory compliance","Data retention, Data archiving, Data deletion, Business requirements, Regulatory compliance, Applicable laws"
DCS-09.2,"Are access control records retained periodically, as deemed appropriate by the organization?",0.3375,"access control records, record retention, periodic retention, organizational requirements","record retention, periodic retention, access control records, organizational requirements"
BCR-05.3,Is business continuity and operational resilience documentation reviewed periodically?,0.3255,"Business continuity, Operational resilience, Documentation review, Periodic review","Business continuity, Periodic review, Operational resilience, Documentation review"
CEK-09.2,"Are encryption and key management systems, policies, and processes audited (preferably continuously but at least annually)?",0.3228,"Encryption auditing, Key management auditing, Audit frequency, Continuous auditing, Annual audits, Security policies, Security processes","Audit frequency, Security policies, Continuous auditing, Encryption auditing, Key management auditing, Annual audits, Security processes"
LOG-08.1,"Are audit records generated, and do they contain relevant security information?",0.3123,"Audit records, Audit logging, Security information","Audit records, Audit logging, Security information"
CEK-01.2,"Are cryptography, encryption, and key management policies and procedures reviewed and updated at least annually?",0.3119,"Cryptography policies, Encryption policies, Key management policies, Procedures review, Annual update","Encryption policies, Key management policies, Annual update, Cryptography policies, Procedures review"
DSP-01.2,Are data security and privacy policies and procedures reviewed and updated at least annually?,0.3094,"Data security policies, Privacy policies, Procedures review, Annual review, Policy updates","Data security policies, Policy updates, Privacy policies, Annual review, Procedures review"
