id,question,score,labels,matched_labels
SEF-05.1,Are information security incident metrics established and monitored?,0.5395,"Incident metrics, Security incident monitoring, Metrics establishment","Security incident monitoring, Incident metrics, Metrics establishment"
LOG-03.1,Are security-related events identified and monitored within applications and the underlying infrastructure?,0.4431,"Security events, Event identification, Event monitoring, Application logging, Infrastructure monitoring","Infrastructure monitoring, Event monitoring, Security events, Event identification, Application logging"
DCS-11.1,Are datacenter personnel trained to respond to unauthorized access or egress attempts?,0.4172,"Datacenter personnel, Security training, Unauthorized access, Egress attempts, Incident response","Incident response, Security training, Datacenter personnel, Egress attempts, Unauthorized access"
SEF-02.2,Are policies and procedures for timely management of security incidents reviewed and updated at least annually?,0.3856,"Security incident management, Policies and procedures, Annual review, Policy updates, Timely management","Security incident management, Timely management, Policies and procedures, Policy updates, Annual review"
TVM-03.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable scheduled and emergency responses to vulnerability identifications (based on the identified risk)?",0.3803,"Vulnerability response, Response processes, Response procedures, Technical measures, Scheduled response, Emergency response, Vulnerability identification, Risk-based response, Process evaluation","Emergency response, Vulnerability response, Risk-based response, Vulnerability identification, Response procedures, Response processes, Scheduled response, Process evaluation, Technical measures"
AIS-07.2,Is the remediation of application security vulnerabilities automated when possible?,0.3633,"Vulnerability remediation, Application security, Remediation automation","Vulnerability remediation, Remediation automation, Application security"
TVM-10.1,"Are metrics for vulnerability identification and remediation established, monitored, and reported at defined intervals?",0.3587,"Vulnerability metrics, Vulnerability identification, Remediation metrics, Metric monitoring, Interval reporting","Metric monitoring, Vulnerability identification, Remediation metrics, Vulnerability metrics, Interval reporting"
TVM-01.2,Are threat and vulnerability management policies and procedures reviewed and updated at least annually?,0.3585,"Threat management, Vulnerability management, Policies and procedures review, Annual review cycle, Policy updates","Vulnerability management, Threat management, Policies and procedures review, Policy updates, Annual review cycle"
LOG-05.1,Are security audit logs monitored to detect activity outside of typical or expected patterns?,0.3538,"Security audit logs, Log monitoring, Anomaly detection, Activity patterns","Log monitoring, Security audit logs, Anomaly detection, Activity patterns"
LOG-03.2,Is a system defined and implemented to generate alerts to responsible stakeholders based on security events and their corresponding metrics?,0.3535,"Alert generation, Responsible stakeholders, Security events, Event metrics, Alerting system, System implementation","Security events, Alerting system, Alert generation, Event metrics, System implementation, Responsible stakeholders"
