id,question,score,labels,matched_labels
BCR-08.1,Is cloud data periodically backed up?,0.4508,"Cloud data, Periodic backups, Data backup","Data backup, Periodic backups, Cloud data"
SEF-05.1,Are information security incident metrics established and monitored?,0.3998,"Incident metrics, Security incident monitoring, Metrics establishment","Security incident monitoring, Incident metrics, Metrics establishment"
BCR-08.3,Can backups be restored appropriately for resiliency?,0.3767,"Backup restoration, Resiliency testing","Backup restoration, Resiliency testing"
BCR-05.3,Is business continuity and operational resilience documentation reviewed periodically?,0.3613,"Business continuity, Operational resilience, Documentation review, Periodic review","Business continuity, Periodic review, Operational resilience, Documentation review"
CEK-09.2,"Are encryption and key management systems, policies, and processes audited (preferably continuously but at least annually)?",0.3536,"Encryption auditing, Key management auditing, Audit frequency, Continuous auditing, Annual audits, Security policies, Security processes","Audit frequency, Continuous auditing, Key management auditing, Security policies, Encryption auditing, Security processes, Annual audits"
SEF-02.2,Are policies and procedures for timely management of security incidents reviewed and updated at least annually?,0.3452,"Security incident management, Policies and procedures, Annual review, Policy updates, Timely management","Security incident management, Policy updates, Policies and procedures, Timely management, Annual review"
TVM-01.2,Are threat and vulnerability management policies and procedures reviewed and updated at least annually?,0.3440,"Threat management, Vulnerability management, Policies and procedures review, Annual review cycle, Policy updates","Vulnerability management, Threat management, Policies and procedures review, Policy updates, Annual review cycle"
LOG-03.1,Are security-related events identified and monitored within applications and the underlying infrastructure?,0.3398,"Security events, Event identification, Event monitoring, Application logging, Infrastructure monitoring","Infrastructure monitoring, Event monitoring, Security events, Application logging, Event identification"
A&A-03.1,Are independent audit and assurance assessments performed according to risk-based plans and policies?,0.3342,"Independent audit, Assurance assessments, Risk-based plans, Audit policies","Audit policies, Risk-based plans, Assurance assessments, Independent audit"
LOG-08.1,"Are audit records generated, and do they contain relevant security information?",0.3340,"Audit records, Audit logging, Security information","Audit records, Audit logging, Security information"
