id,question,score,labels,matched_labels
BCR-08.1,Is cloud data periodically backed up?,0.5940,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
BCR-08.3,Can backups be restored appropriately for resiliency?,0.5379,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
BCR-08.2,"Is the confidentiality, integrity, and availability of backup data ensured?",0.5104,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
DCS-09.2,"Are access control records retained periodically, as deemed appropriate by the organization?",0.4459,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?",0.4266,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
DCS-02.3,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually?",0.3759,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, asset relocation, offsite transfer, policy review",
BCR-05.3,Is business continuity and operational resilience documentation reviewed periodically?,0.3402,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
CEK-12.1,Are cryptographic keys rotated based on a cryptoperiod calculated while considering information disclosure risks and legal and regulatory requirements?,0.3363,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
DCS-02.1,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location established, documented, approved, communicated, implemented, enforced, maintained?",0.3320,"policies and procedures, asset relocation, offsite transfer, policy review",
CCC-09.1,"Is a process to proactively roll back changes to a previously known ""good state"" defined and implemented in case of errors or security concerns?",0.3225,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
