id,question,score,labels,matched_labels
BCR-08.2,"Is the confidentiality, integrity, and availability of backup data ensured?",0.5341,"Backup data, Confidentiality, Integrity, Availability, CIA triad",
BCR-08.1,Is cloud data periodically backed up?,0.5227,"Cloud data, Periodic backups, Data backup",
BCR-08.3,Can backups be restored appropriately for resiliency?,0.5096,"Backup restoration, Resiliency testing",
DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?",0.4881,"Data retention, Data archiving, Data deletion, Business requirements, Applicable laws, Regulatory compliance",
SEF-01.1,"Are policies and procedures for security incident management, e- discovery, and cloud forensics established, documented, approved, communicated, applied, evaluated, and maintained?",0.4819,"Security incident management, E-discovery, Cloud forensics, Policies and procedures, Documentation, Approval, Communication, Implementation, Evaluation, Maintenance",
SEF-05.1,Are information security incident metrics established and monitored?,0.4732,"Incident metrics, Security incident monitoring, Metrics establishment",
DCS-02.3,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually?",0.4467,"Policy review, Procedure review, Annual update, Relocation procedures, Transfer procedures, Hardware transfer, Software transfer, Data transfer, Offsite location, Alternate location",
BCR-05.3,Is business continuity and operational resilience documentation reviewed periodically?,0.4443,"Business continuity, Operational resilience, Documentation review, Periodic review",
SEF-02.2,Are policies and procedures for timely management of security incidents reviewed and updated at least annually?,0.4418,"Security incident management, Policies and procedures, Annual review, Policy updates, Timely management",
DCS-09.2,"Are access control records retained periodically, as deemed appropriate by the organization?",0.4412,"access control records, record retention, periodic retention, organizational requirements",
